2025-10-09 23:29:56.810 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration hacs which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2025-10-09 23:29:56.813 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration browser_mod which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2025-10-09 23:29:56.814 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration webrtc which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2025-10-09 23:29:59.231 WARNING (Recorder) [homeassistant.components.recorder.util] The system could not validate that the sqlite3 database at //config/home-assistant_v2.db was shutdown cleanly
2025-10-09 23:30:01.256 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-09 23:30:04.066 ERROR (MainThread) [homeassistant.components.weather] Platform met does not generate unique IDs. ID home already exists - ignoring weather.forecast_maison
2025-10-09 23:30:15.530 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bff608627ea82d5131wt5udoorcontact_state already exists - ignoring binary_sensor.porte_chambre_parentale_porte
2025-10-09 23:30:15.530 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bf47e945a89287e2feznihdoorcontact_state already exists - ignoring binary_sensor.capteur_garage_porte
2025-10-09 23:30:15.530 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bf71717cac3ee1c543kle8doorcontact_state already exists - ignoring binary_sensor.capteur_chambre_aaron_porte
2025-10-09 23:30:15.530 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bf79bdf02e9d3eed0fxhjbdoorcontact_state already exists - ignoring binary_sensor.portail_porte
2025-10-09 23:30:15.530 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bfcf3c0ea945ada0ab79vodoorcontact_state already exists - ignoring binary_sensor.bureau_prive_porte_porte
2025-10-09 23:30:15.531 ERROR (MainThread) [homeassistant.components.binary_sensor] Platform tuya does not generate unique IDs. ID tuya.bf8c7a0809b8695f76wcahdoorcontact_state already exists - ignoring binary_sensor.porte_garage_porte
2025-10-09 23:30:15.532 ERROR (MainThread) [homeassistant.components.camera] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79goca already exists - ignoring camera.360camera
2025-10-09 23:30:15.532 ERROR (MainThread) [homeassistant.components.camera] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93v already exists - ignoring camera.camera_salon
